Time (real),IR Value raw,IR Value filtered,Time (s)
2025-05-05 23:09:27,27377,793,0.03986644744873047
2025-05-05 23:09:27,27381,747,0.10120081901550293
2025-05-05 23:09:27,27377,697,0.1595287322998047
2025-05-05 23:09:27,27382,658,0.2203235626220703
2025-05-05 23:09:27,27377,612,0.2796485424041748
2025-05-05 23:09:28,27378,575,0.34044504165649414
2025-05-05 23:09:28,27374,535,0.4017667770385742
2025-05-05 23:09:28,27381,508,0.46109938621520996
2025-05-05 23:09:28,27384,479,0.5218961238861084
2025-05-05 23:09:28,27379,445,0.5812258720397949
2025-05-05 23:09:28,27388,425,0.6420271396636963
2025-05-05 23:09:28,27383,394,0.7003624439239502
2025-05-05 23:09:28,27381,368,0.7616853713989258
2025-05-05 23:09:28,27379,343,0.8204891681671143
2025-05-05 23:09:28,27380,322,0.8818099498748779
2025-05-05 23:09:28,27375,298,0.942608118057251
2025-05-05 23:09:28,27381,285,1.0019378662109375
2025-05-05 23:09:28,27392,277,1.0622587203979492
2025-05-05 23:09:28,27385,253,1.122058629989624
2025-05-05 23:09:28,27388,240,1.1823928356170654
2025-05-05 23:09:28,27383,221,1.2421925067901611
2025-05-05 23:09:28,27381,205,1.302520990371704
2025-05-05 23:09:29,27378,189,1.3638520240783691
2025-05-05 23:09:29,27386,185,1.422654390335083
2025-05-05 23:09:29,27384,172,1.4839611053466797
2025-05-05 23:09:29,27388,165,1.5427637100219727
2025-05-05 23:09:29,27395,161,1.604081392288208
2025-05-05 23:09:29,27386,143,1.6624116897583008
2025-05-05 23:09:29,27388,136,1.72420072555542
2025-05-05 23:09:29,27387,126,1.7825286388397217
2025-05-05 23:09:29,27392,123,1.8433258533477783
2025-05-05 23:09:29,27379,103,1.9046540260314941
2025-05-05 23:09:29,27389,106,1.963979721069336
2025-05-05 23:09:29,27395,105,2.024771213531494
2025-05-05 23:09:29,27390,94,2.0841054916381836
2025-05-05 23:09:29,27394,92,2.1449005603790283
2025-05-05 23:09:29,27389,81,2.2042317390441895
2025-05-05 23:09:29,27390,77,2.2645609378814697
2025-05-05 23:09:30,27390,73,2.3253579139709473
2025-05-05 23:09:30,27391,69,2.3846917152404785
2025-05-05 23:09:30,27388,62,2.4454870223999023
2025-05-05 23:09:30,27392,62,2.5048155784606934
2025-05-05 23:09:30,27399,65,2.5661375522613525
2025-05-05 23:09:30,27398,60,2.624945640563965
2025-05-05 23:09:30,27397,55,2.6852684020996094
2025-05-05 23:09:30,27392,47,2.745068311691284
2025-05-05 23:09:30,27398,50,2.8054025173187256
2025-05-05 23:09:30,27386,35,2.866727113723755
2025-05-05 23:09:30,27393,40,2.9255306720733643
2025-05-05 23:09:30,27394,38,2.9868569374084473
2025-05-05 23:09:30,27398,40,3.045661687850952
2025-05-05 23:09:30,27400,39,3.1069836616516113
2025-05-05 23:09:30,27393,30,3.165318727493286
2025-05-05 23:09:30,27400,35,3.22711181640625
2025-05-05 23:09:30,27390,23,3.2854487895965576
2025-05-05 23:09:31,27392,24,3.346245050430298
2025-05-05 23:09:31,27392,22,3.407566547393799
2025-05-05 23:09:31,27396,25,3.46689510345459
2025-05-05 23:09:31,27402,29,3.527686834335327
2025-05-05 23:09:31,27400,25,3.587024688720703
2025-05-05 23:09:31,27399,23,3.6478168964385986
2025-05-05 23:09:31,27396,18,3.7071468830108643
2025-05-05 23:09:31,27404,25,3.7674691677093506
2025-05-05 23:09:31,27396,16,3.8282673358917236
2025-05-05 23:09:31,27400,19,3.887596845626831
2025-05-05 23:09:31,27394,12,3.948395252227783
2025-05-05 23:09:31,27403,20,4.0077314376831055
2025-05-05 23:09:31,27410,25,4.069056272506714
2025-05-05 23:09:31,27401,15,4.127858877182007
2025-05-05 23:09:31,27400,13,4.189170837402344
2025-05-05 23:09:31,27394,7,4.247979402542114
2025-05-05 23:09:31,27402,14,4.308286905288696
2025-05-05 23:09:32,27397,8,4.3696043491363525
2025-05-05 23:09:32,27406,16,4.428407430648804
2025-05-05 23:09:32,27413,22,4.4897260665893555
2025-05-05 23:09:32,27411,19,4.548524379730225
2025-05-05 23:09:32,27406,13,4.609846353530884
2025-05-05 23:09:32,27409,15,4.66916561126709
2025-05-05 23:09:32,27400,6,4.729962587356567
2025-05-05 23:09:32,27400,5,4.790286540985107
2025-05-05 23:09:32,27408,12,4.850082874298096
2025-05-05 23:09:32,27400,4,4.91045880317688
2025-05-05 23:09:32,27408,11,4.96939754486084
2025-05-05 23:09:32,27416,18,5.030922889709473
2025-05-05 23:09:32,27409,11,5.090237379074097
2025-05-05 23:09:32,27411,12,5.15103816986084
2025-05-05 23:09:32,27406,6,5.2100160121917725
2025-05-05 23:09:32,27407,7,5.2711052894592285
2025-05-05 23:09:33,27404,4,5.331907749176025
2025-05-05 23:09:33,27408,7,5.390239477157593
2025-05-05 23:09:33,27408,7,5.452043533325195
2025-05-05 23:09:33,27409,7,5.511031150817871
2025-05-05 23:09:33,27412,10,5.571367025375366
2025-05-05 23:09:33,27412,9,5.63116717338562
2025-05-05 23:09:33,27416,12,5.6914942264556885
2025-05-05 23:09:33,27405,1,5.750297546386719
2025-05-05 23:09:33,27406,2,5.811627149581909
2025-05-05 23:09:33,27402,-2,5.872957229614258
2025-05-05 23:09:33,27412,8,5.931760549545288
2025-05-05 23:09:33,27419,14,5.992672920227051
2025-05-05 23:09:33,27410,5,6.051474571228027
2025-05-05 23:09:33,27411,5,6.112806081771851
2025-05-05 23:09:33,27416,10,6.17212986946106
2025-05-05 23:09:33,27415,8,6.2329261302948
2025-05-05 23:09:33,27408,1,6.293254375457764
