Time (real),IR Value raw,IR Value filtered,Time (s),Label
4/15/2025 12:34,95307,74,5.620701551,0
4/15/2025 12:34,95001,-218,5.680033684,0
4/15/2025 12:34,95033,-174,5.740829945,0
4/15/2025 12:34,95144,-59,5.8001616,0
4/15/2025 12:34,95234,29,5.860493183,0
4/15/2025 12:34,95261,52,5.920289993,0
4/15/2025 12:34,95357,139,5.980601549,0
4/15/2025 12:34,95491,256,6.040405512,0
4/15/2025 12:34,95610,352,6.100734472,0
4/15/2025 12:34,95728,440,6.160062313,0
4/15/2025 12:34,95584,278,6.223852158,0
4/15/2025 12:34,95064,-227,6.280195236,0
4/15/2025 12:34,95015,-259,6.340991735,0
4/15/2025 12:34,95115,-149,6.400323153,0
4/15/2025 12:34,95247,-16,6.460645199,0
4/15/2025 12:34,95282,18,6.520444632,0
4/15/2025 12:34,95344,75,6.580760956,0
4/15/2025 12:34,95454,174,6.640564442,0
4/15/2025 12:34,95579,280,6.700893879,0
4/15/2025 12:34,95686,363,6.760216951,0
4/15/2025 12:34,95801,448,6.820019722,0
4/15/2025 12:34,95350,-3,6.880345345,0
4/15/2025 12:34,95106,-231,6.940144777,0
4/15/2025 12:34,95150,-176,7.000458241,0
4/15/2025 12:34,95307,-17,7.060788631,0
4/15/2025 12:34,95393,64,7.120591879,0
4/15/2025 12:34,95419,85,7.180912733,0
4/15/2025 12:34,95499,155,7.240716219,0
4/15/2025 12:34,95615,254,7.300042629,0
4/15/2025 12:34,95758,372,7.360352755,0
4/15/2025 12:34,95918,499,7.420155048,0
4/15/2025 12:34,95636,203,7.480474234,0
4/15/2025 12:34,95109,-304,7.540273905,0
4/15/2025 12:34,95021,-367,7.600596428,0
4/15/2025 12:34,95115,-256,7.660921097,0
4/15/2025 12:34,95225,-137,7.720729351,0
4/15/2025 12:34,95218,-135,7.780045748,0
4/15/2025 12:34,95263,-84,7.840845585,0
4/15/2025 12:34,95367,19,7.900165319,0
4/15/2025 12:34,95485,128,7.961470127,0
4/15/2025 12:34,95592,220,8.020281315,0
4/15/2025 12:34,95231,-132,8.080601454,0
4/15/2025 12:34,94878,-454,8.140405178,0
4/15/2025 12:34,94889,-416,8.20072794,0
4/15/2025 12:34,94956,-327,8.260534286,0
4/15/2025 12:34,95098,-173,8.32085371,0
4/15/2025 12:34,95145,-118,8.390154123,0
4/15/2025 12:34,95242,-20,8.440984011,0
4/15/2025 12:34,95381,112,8.500317574,0
4/15/2025 12:34,95500,216,8.560116053,0
4/15/2025 12:34,95640,334,8.620438814,0
4/15/2025 12:34,95678,349,8.680763483,0
4/15/2025 12:34,95091,-223,8.740565538,0
4/15/2025 12:34,94957,-335,8.810847521,0
4/15/2025 12:34,95035,-241,8.860683441,0
