Time (real),IR Value raw,IR Value filtered,Time (s),Label
4/18/2025 13:44,126119,330,0.078132391,0
4/18/2025 13:44,126127,317,0.078383923,0
4/18/2025 13:44,126141,310,0.078563452,0
4/18/2025 13:44,126230,375,0.099829197,0
4/18/2025 13:44,126319,435,0.139881134,0
4/18/2025 13:44,126447,527,0.180293798,0
4/18/2025 13:44,126585,624,0.219727516,0
4/18/2025 13:44,126656,652,0.260182619,0
4/18/2025 13:44,126701,653,0.300002098,0
4/18/2025 13:44,126743,652,0.339518785,0
4/18/2025 13:44,126337,230,0.380074501,0
4/18/2025 13:44,125401,-662,0.420454264,0
4/18/2025 13:44,125318,-698,0.45975256,0
4/18/2025 13:44,125848,-157,0.499969721,0
4/18/2025 13:44,126218,199,0.540153027,0
4/18/2025 13:44,126459,413,0.579875469,0
4/18/2025 13:44,126576,497,0.6203022,0
4/18/2025 13:44,126592,481,0.670141697,0
4/18/2025 13:44,126637,493,0.700182915,0
4/18/2025 13:44,126701,522,0.739893436,0
4/18/2025 13:44,126738,524,0.780017138,0
4/18/2025 13:44,126804,553,0.819887161,0
4/18/2025 13:44,126850,562,0.87030673,0
4/18/2025 13:44,126903,576,0.909695625,0
4/18/2025 13:44,126945,580,0.94963026,0
4/18/2025 13:44,126961,559,0.980131149,0
4/18/2025 13:44,126799,372,1.020146847,0
4/18/2025 13:44,126122,-286,1.070609093,0
4/18/2025 13:44,125904,-472,1.110291719,0
4/18/2025 13:44,126262,-107,1.149593115,0
4/18/2025 13:44,126610,226,1.190012932,0
4/18/2025 13:44,126747,340,1.229660988,0
4/18/2025 13:44,126820,387,1.270835876,0
4/18/2025 13:44,126808,352,1.30989337,0
4/18/2025 13:45,126764,289,1.350067377,0
4/18/2025 13:45,126798,303,1.390135288,0
4/18/2025 13:45,126860,342,1.429462194,0
4/18/2025 13:45,126883,342,1.469986677,0
4/18/2025 13:45,126922,357,1.509679317,0
4/18/2025 13:45,127000,408,1.549376488,0
4/18/2025 13:45,126999,382,1.590322018,0
4/18/2025 13:45,126971,332,1.629379988,0
4/18/2025 13:45,126471,-158,1.670233488,0
4/18/2025 13:45,125541,-1020,1.709450483,0
4/18/2025 13:45,125553,-945,1.749816656,0
4/18/2025 13:45,126052,-418,1.790117264,0
4/18/2025 13:45,126406,-60,1.83035183,0
4/18/2025 13:45,126614,139,1.870158911,0
4/18/2025 13:45,126726,235,1.909578323,0
4/18/2025 13:45,126758,251,1.949754715,0
4/18/2025 13:45,126823,296,1.990209341,0
4/18/2025 13:45,126964,410,2.029978275,0
4/18/2025 13:45,127023,439,2.070430994,0
4/18/2025 13:45,126986,377,2.109865427,0
4/18/2025 13:45,126977,345,2.149792433,0
4/18/2025 13:45,127007,352,2.190391541,0
4/18/2025 13:45,126997,320,2.230086803,0
4/18/2025 13:45,126851,164,2.270348787,0
4/18/2025 13:45,126151,-503,2.30940938,0
4/18/2025 13:45,125913,-695,2.35011363,0
4/18/2025 13:45,126408,-187,2.389897108,0
4/18/2025 13:45,126720,117,2.430062294,0
4/18/2025 13:45,126858,239,2.47009778,0
4/18/2025 13:45,126992,350,2.509366751,0
4/18/2025 13:45,127032,366,2.550212622,0
4/18/2025 13:45,127033,344,2.590092182,0
4/18/2025 13:45,127033,322,2.629540205,0
4/18/2025 13:45,127080,346,2.669826269,0
4/18/2025 13:45,127120,362,2.710201263,0
4/18/2025 13:45,127134,353,2.750279188,0
4/18/2025 13:45,127171,365,2.790199995,0
4/18/2025 13:45,127217,386,2.829495907,0
4/18/2025 13:45,127227,371,2.869968891,0
4/18/2025 13:45,126864,8,2.909425259,0
4/18/2025 13:45,126174,-640,2.950324059,0
4/18/2025 13:45,126215,-561,2.999548912,0
4/18/2025 13:45,126534,-227,3.030243397,0
4/18/2025 13:45,126717,-41,3.069956779,0
4/18/2025 13:45,126830,67,3.119681358,0
4/18/2025 13:45,126939,165,3.159390926,0
4/18/2025 13:45,127008,220,3.190019608,0
