Time (real),IR Value raw,IR Value filtered,Time (s),Label
4/22/2025 1:22,117406,-100,2.92,0
4/22/2025 1:22,117456,-47,2.95,0
4/22/2025 1:22,117428,-70,2.98,0
4/22/2025 1:22,117557,55,3.01,0
4/22/2025 1:22,117831,309,3.04,0
4/22/2025 1:22,118114,555,3.07,0
4/22/2025 1:22,118344,736,3.1,0
4/22/2025 1:22,118542,875,3.13,0
4/22/2025 1:22,118731,998,3.16,0
4/22/2025 1:22,118865,1061,3.19,0
4/22/2025 1:22,118750,887,3.22,0
4/22/2025 1:22,117345,-485,3.25,0
4/22/2025 1:22,116407,-1334,3.28,0
4/22/2025 1:22,116458,-1203,3.31,0
4/22/2025 1:22,116695,-906,3.34,0
4/22/2025 1:22,116917,-641,3.37,0
4/22/2025 1:22,117176,-358,3.4,0
4/22/2025 1:22,117443,-85,3.43,0
4/22/2025 1:22,117489,-37,3.46,0
4/22/2025 1:22,117478,-45,3.49,0
4/22/2025 1:22,117523,0,3.52,0
4/22/2025 1:22,117728,192,3.55,0
4/22/2025 1:22,117997,433,3.58,0
4/22/2025 1:22,118289,679,3.61,0
4/22/2025 1:22,118519,852,3.64,0
4/22/2025 1:22,118681,951,3.67,0
4/22/2025 1:22,118805,1008,3.7,0
4/22/2025 1:22,118667,816,3.73,0
4/22/2025 1:22,117271,-544,3.76,0
4/22/2025 1:22,116433,-1296,3.79,0
4/22/2025 1:22,116483,-1168,3.82,0
4/22/2025 1:22,116786,-811,3.85,0
4/22/2025 1:22,117029,-532,3.88,0
4/22/2025 1:22,117296,-249,3.91,0
4/22/2025 1:22,117554,9,3.94,0
4/22/2025 1:22,117592,44,3.97,0
4/22/2025 1:22,117546,-2,4,0
4/22/2025 1:22,117635,82,4.03,0
4/22/2025 1:22,117878,304,4.06,0
4/22/2025 1:22,118198,585,4.09,0
4/22/2025 1:22,118471,805,4.12,0
4/22/2025 1:22,118636,909,4.15,0
4/22/2025 1:22,118780,987,4.18,0
4/22/2025 1:22,118908,1046,4.21,0
4/22/2025 1:22,118310,420,4.24,0
4/22/2025 1:22,116796,-1026,4.27,0
4/22/2025 1:22,116386,-1346,4.3,0
4/22/2025 1:22,116518,-1138,4.33,0
4/22/2025 1:22,116727,-871,4.36,0
4/22/2025 1:22,116894,-660,4.39,0
4/22/2025 1:22,117154,-375,4.42,0
4/22/2025 1:22,117356,-162,4.45,0
4/22/2025 1:22,117328,-178,4.48,0
4/22/2025 1:22,117290,-203,4.51,0
4/22/2025 1:22,117450,-40,4.54,0
4/22/2025 1:22,117747,241,4.57,0
4/22/2025 1:22,118069,528,4.6,0
4/22/2025 1:22,118318,728,4.63,0
4/22/2025 1:22,118495,849,4.66,0
4/22/2025 1:22,118657,948,4.69,0
4/22/2025 1:22,118806,1028,4.72,0
4/22/2025 1:22,118256,448,4.75,0
4/22/2025 1:22,116765,-978,4.78,0
4/22/2025 1:22,116370,-1287,4.81,0
4/22/2025 1:22,116490,-1094,4.84,0
4/22/2025 1:22,116666,-860,4.87,0
4/22/2025 1:22,116845,-639,4.9,0
4/22/2025 1:22,117100,-360,4.93,0
4/22/2025 1:22,117315,-136,4.96,0
4/22/2025 1:22,117340,-104,4.99,0
4/22/2025 1:22,117309,-126,5.02,0
4/22/2025 1:22,117432,-3,5.05,0
4/22/2025 1:22,117647,199,5.08,0
4/22/2025 1:22,117928,450,5.11,0
4/22/2025 1:22,118214,690,5.14,0
4/22/2025 1:22,118429,848,5.17,0
4/22/2025 1:22,118590,946,5.2,0
4/22/2025 1:22,118738,1026,5.23,0
4/22/2025 1:22,118688,915,5.26,0
4/22/2025 1:22,117294,-449,5.29,0
4/22/2025 1:22,116402,-1257,5.32,0
4/22/2025 1:22,116428,-1154,5.35,0
4/22/2025 1:22,116628,-895,5.38,0
4/22/2025 1:22,116794,-683,5.41,0
4/22/2025 1:22,116995,-452,5.44,0
4/22/2025 1:22,117252,-183,5.47,0
4/22/2025 1:22,117356,-74,5.5,0
4/22/2025 1:22,117327,-96,5.53,0
4/22/2025 1:22,117368,-52,5.56,0
4/22/2025 1:22,117590,160,5.59,0
4/22/2025 1:22,117896,437,5.62,0
4/22/2025 1:22,118144,642,5.65,0
4/22/2025 1:22,118297,745,5.68,0
4/22/2025 1:22,118439,832,5.71,0
4/22/2025 1:22,118618,948,5.74,0
4/22/2025 1:22,118522,798,5.77,0
4/22/2025 1:22,117180,-510,5.8,0
4/22/2025 1:22,116373,-1234,5.83,0
4/22/2025 1:22,116437,-1097,5.86,0
4/22/2025 1:22,116641,-837,5.89,0
4/22/2025 1:22,116776,-658,5.92,0
4/22/2025 1:22,117037,-372,5.95,0
4/22/2025 1:22,117352,-54,5.98,0
4/22/2025 1:22,117378,-26,6.01,0
4/22/2025 1:22,117296,-101,6.04,0
4/22/2025 1:22,117331,-62,6.07,0
4/22/2025 1:22,117524,123,6.1,0
4/22/2025 1:22,117806,379,6.13,0
4/22/2025 1:22,118036,571,6.16,0
4/22/2025 1:22,118209,698,6.19,0
4/22/2025 1:22,118393,827,6.22,0
4/22/2025 1:22,118549,921,6.25,0
4/22/2025 1:22,118163,502,6.28,0
4/22/2025 1:22,116784,-822,6.31,0
4/22/2025 1:22,116334,-1193,6.34,0
4/22/2025 1:22,116394,-1062,6.37,0
4/22/2025 1:22,116525,-873,6.4,0
4/22/2025 1:22,116620,-729,6.43,0
4/22/2025 1:22,116838,-479,6.46,0
4/22/2025 1:22,117061,-240,6.49,0
4/22/2025 1:22,117088,-200,6.52,0
4/22/2025 1:22,117109,-167,6.55,0
4/22/2025 1:22,117268,-8,6.58,0
4/22/2025 1:22,117515,224,6.61,0
4/22/2025 1:22,117842,517,6.64,0
4/22/2025 1:22,118169,791,6.67,0
4/22/2025 1:22,118394,953,6.7,0
4/22/2025 1:22,118543,1033,6.73,0
4/22/2025 1:22,118682,1099,6.76,0
4/22/2025 1:22,118522,880,6.79,0
4/22/2025 1:22,117214,-401,6.82,0
4/22/2025 1:22,116409,-1131,6.85,0
4/22/2025 1:22,116370,-1097,6.88,0
4/22/2025 1:22,116517,-890,6.91,0
4/22/2025 1:22,116628,-731,6.94,0
4/22/2025 1:22,116838,-488,6.97,0
4/22/2025 1:22,117161,-155,7,0
4/22/2025 1:22,117332,15,7.03,0
4/22/2025 1:22,117345,27,7.06,0
4/22/2025 1:22,117466,138,7.09,0
4/22/2025 1:22,117819,461,7.12,0
4/22/2025 1:22,118218,806,7.15,0
4/22/2025 1:22,118562,1078,7.18,0
4/22/2025 1:22,118824,1256,7.21,0
4/22/2025 1:22,119050,1390,7.24,0
4/22/2025 1:22,119231,1473,7.27,0
4/22/2025 1:22,119331,1474,7.3,0
4/22/2025 1:22,118967,1041,7.33,0
4/22/2025 1:22,117698,-214,7.36,0
4/22/2025 1:22,117039,-818,7.39,0
4/22/2025 1:22,116976,-826,7.42,0
4/22/2025 1:22,117037,-717,7.45,0
4/22/2025 1:22,117187,-532,7.48,0
4/22/2025 1:22,117454,-248,7.51,0
4/22/2025 1:22,117664,-36,7.54,0
4/22/2025 1:22,117774,70,7.57,0
4/22/2025 1:22,117934,215,7.6,0
4/22/2025 1:22,118257,505,7.63,0
4/22/2025 1:22,118604,799,7.66,0
4/22/2025 1:22,118900,1026,7.69,0
4/22/2025 1:22,119135,1182,7.72,0
4/22/2025 1:22,119278,1243,7.75,0
4/22/2025 1:22,119369,1250,7.78,0
4/22/2025 1:22,119434,1233,7.81,0
4/22/2025 1:22,118633,405,7.84,0
4/22/2025 1:22,117073,-1083,7.87,0
4/22/2025 1:22,116701,-1364,7.9,0
4/22/2025 1:22,116777,-1207,7.93,0
4/22/2025 1:22,116933,-985,7.96,0
4/22/2025 1:22,117132,-737,7.99,0
4/22/2025 1:22,117400,-440,8.02,0
4/22/2025 1:22,117546,-276,8.05,0
4/22/2025 1:22,117540,-264,8.08,0
4/22/2025 1:22,117571,-218,8.11,0
4/22/2025 1:22,117700,-84,8.14,0
4/22/2025 1:22,117905,114,8.17,0
4/22/2025 1:22,118100,289,8.2,0
4/22/2025 1:22,118281,441,8.23,0
4/22/2025 1:22,118519,637,8.26,0
4/22/2025 1:22,118603,676,8.29,0
4/22/2025 1:22,117515,-387,8.32,0
4/22/2025 1:22,116569,-1249,8.35,0
4/22/2025 1:22,116490,-1245,8.38,0
4/22/2025 1:22,116607,-1058,8.41,0
4/22/2025 1:22,116835,-778,8.44,0
4/22/2025 1:22,117099,-482,8.47,0
4/22/2025 1:22,117429,-142,8.5,0
4/22/2025 1:22,117584,12,8.53,0
4/22/2025 1:22,117580,8,8.56,0
4/22/2025 1:22,117649,72,8.59,0
4/22/2025 1:22,117788,198,8.62,0
4/22/2025 1:22,117970,356,8.65,0
4/22/2025 1:22,118196,546,8.68,0
4/22/2025 1:22,118362,667,8.71,0
4/22/2025 1:22,118563,814,8.74,0
4/22/2025 1:22,118834,1017,8.77,0
4/22/2025 1:22,118308,461,8.8,0
4/22/2025 1:22,117077,-722,8.83,0
4/22/2025 1:22,116799,-938,8.86,0
4/22/2025 1:22,117140,-559,8.89,0
4/22/2025 1:22,117611,-83,8.92,0
4/22/2025 1:22,118063,346,8.95,0
4/22/2025 1:22,118510,744,8.98,0
4/22/2025 1:22,118785,955,9.01,0
4/22/2025 1:22,118887,991,9.04,0
4/22/2025 1:22,118938,977,9.07,0
4/22/2025 1:22,119064,1034,9.1,0
4/22/2025 1:22,119220,1116,9.13,0
4/22/2025 1:22,119330,1149,9.16,0
4/22/2025 1:22,119390,1134,9.19,0
4/22/2025 1:22,119416,1087,9.22,0
4/22/2025 1:22,119435,1037,9.25,0
4/22/2025 1:22,119232,782,9.28,0
4/22/2025 1:22,117771,-637,9.31,0
4/22/2025 1:22,116825,-1484,9.34,0
4/22/2025 1:22,116842,-1375,9.37,0
4/22/2025 1:22,117128,-1021,9.4,0
4/22/2025 1:22,117347,-752,9.43,0
4/22/2025 1:22,117676,-396,9.46,0
4/22/2025 1:22,118030,-40,9.49,0
4/22/2025 1:22,118070,0,9.52,0
4/22/2025 1:22,118129,56,9.55,0
4/22/2025 1:22,118424,329,9.58,0
4/22/2025 1:22,118810,670,9.61,0
4/22/2025 1:22,119064,866,9.64,0
4/22/2025 1:22,119242,979,9.67,0
4/22/2025 1:22,119376,1044,9.7,0
4/22/2025 1:22,119442,1040,9.73,0
4/22/2025 1:22,119449,982,9.76,0
4/22/2025 1:22,118278,-177,9.79,0
4/22/2025 1:22,116977,-1386,9.82,0
4/22/2025 1:22,116810,-1456,9.85,0
4/22/2025 1:22,116950,-1233,9.88,0
4/22/2025 1:22,117047,-1065,9.91,0
4/22/2025 1:22,117323,-740,9.94,0
4/22/2025 1:22,117691,-349,9.97,0
4/22/2025 1:22,117793,-231,10,0
4/22/2025 1:22,117614,-385,10.03,0
4/22/2025 1:22,117538,-432,10.06,0
4/22/2025 1:22,117731,-224,10.09,0
4/22/2025 1:22,118037,77,10.12,0
4/22/2025 1:22,118349,365,10.15,0
4/22/2025 1:22,118582,560,10.18,0
4/22/2025 1:22,118757,689,10.21,0
4/22/2025 1:22,118878,760,10.24,0
4/22/2025 1:22,118977,805,10.27,0
4/22/2025 1:22,118422,235,10.3,0
4/22/2025 1:22,116960,-1151,10.33,0
4/22/2025 1:22,116459,-1548,10.36,0
4/22/2025 1:22,116483,-1429,10.39,0
4/22/2025 1:22,116564,-1264,10.42,0
4/22/2025 1:22,116656,-1099,10.45,0
4/22/2025 1:22,116894,-807,10.48,0
4/22/2025 1:22,117139,-527,10.51,0
4/22/2025 1:22,117193,-443,10.54,0
4/22/2025 1:22,117159,-447,10.57,0
4/22/2025 1:22,117263,-322,10.6,0
4/22/2025 1:22,117584,-1,10.63,0
4/22/2025 1:22,117868,266,10.66,0
4/22/2025 1:22,118073,441,10.69,0
4/22/2025 1:22,118329,654,10.72,0
4/22/2025 1:22,118414,693,10.75,0
4/22/2025 1:22,118463,695,10.78,0
4/22/2025 1:22,118586,767,10.81,0
4/22/2025 1:22,118686,813,10.84,0
4/22/2025 1:22,118139,249,10.87,0
4/22/2025 1:22,116789,-1032,10.9,0
4/22/2025 1:22,116369,-1361,10.93,0
4/22/2025 1:22,116379,-1267,10.96,0
4/22/2025 1:22,116497,-1077,10.99,0
4/22/2025 1:22,116575,-936,11.02,0
4/22/2025 1:22,116768,-697,11.05,0
4/22/2025 1:22,116968,-466,11.08,0
4/22/2025 1:22,117007,-400,11.11,0
4/22/2025 1:22,117012,-370,11.14,0
4/22/2025 1:22,117183,-187,11.17,0
4/22/2025 1:22,117539,159,11.2,0
4/22/2025 1:22,117850,440,11.23,0
4/22/2025 1:22,118119,665,11.26,0
4/22/2025 1:22,118299,792,11.29,0
4/22/2025 1:22,118424,860,11.32,0
4/22/2025 1:22,118486,864,11.35,0
4/22/2025 1:22,118577,896,11.38,0
4/22/2025 1:22,118554,818,11.41,0
4/22/2025 1:22,117393,-321,11.44,0
4/22/2025 1:22,116529,-1111,11.47,0
4/22/2025 1:22,116534,-1037,11.5,0
4/22/2025 1:22,116641,-872,11.53,0
4/22/2025 1:22,116708,-755,11.56,0
4/22/2025 1:22,116871,-555,11.59,0
4/22/2025 1:22,117213,-199,11.62,0
4/22/2025 1:22,117340,-68,11.65,0
4/22/2025 1:22,117220,-176,11.68,0
4/22/2025 1:22,117176,-206,11.71,0
4/22/2025 1:22,117271,-104,11.74,0
4/22/2025 1:22,117446,66,11.77,0
4/22/2025 1:22,117634,239,11.8,0
4/22/2025 1:22,117853,429,11.83,0
4/22/2025 1:22,118114,647,11.86,0
4/22/2025 1:22,118369,846,11.89,0
4/22/2025 1:22,118623,1031,11.92,0
4/22/2025 1:22,118436,791,11.95,0
4/22/2025 1:22,117039,-568,11.98,0
4/22/2025 1:22,116474,-1062,12.01,0
4/22/2025 1:22,116495,-976,12.04,0
4/22/2025 1:22,116656,-764,12.07,0
4/22/2025 1:22,116839,-545,12.1,0
4/22/2025 1:22,117151,-218,12.13,0
4/22/2025 1:22,117422,50,12.16,0
4/22/2025 1:22,117520,138,12.19,0
4/22/2025 1:22,117478,90,12.22,0
4/22/2025 1:22,117494,100,12.25,0
4/22/2025 1:22,117678,266,12.28,0
4/22/2025 1:22,117960,514,12.31,0
4/22/2025 1:22,118182,690,12.34,0
4/22/2025 1:22,118350,804,12.37,0
4/22/2025 1:22,118526,919,12.4,0
4/22/2025 1:22,118679,1005,12.43,0
4/22/2025 1:22,118793,1049,12.46,0
4/22/2025 1:22,118964,1144,12.49,0
4/22/2025 1:22,118535,670,12.52,0
4/22/2025 1:22,117109,-708,12.55,0
