Time (real),IR Value raw,IR Value filtered,Time (s),Label
4/23/2025 12:35,122446,70,0.071507692,0
4/23/2025 12:35,122725,327,0.071784496,0
4/23/2025 12:35,122827,402,0.071944475,0
4/23/2025 12:35,122848,397,0.072086573,0
4/23/2025 12:35,122865,388,0.072233915,0
4/23/2025 12:35,122887,384,0.072373867,0
4/23/2025 12:35,122941,411,0.072509766,0
4/23/2025 12:35,123017,457,0.072645664,0
4/23/2025 12:35,123027,437,0.072786093,0
4/23/2025 12:35,123038,420,0.072912216,0
4/23/2025 12:35,123008,366,0.073025227,0
4/23/2025 12:35,121990,-611,0.073143244,0
4/23/2025 12:35,121242,-1274,0.073270321,0
4/23/2025 12:35,121700,-765,0.073387384,0
4/23/2025 12:35,122329,-128,0.073503256,0
4/23/2025 12:35,122675,205,0.073611975,0
4/23/2025 12:35,122815,323,0.073720217,0
4/23/2025 12:35,122843,329,0.073827744,0
4/23/2025 12:35,122840,306,0.073935509,0
4/23/2025 12:35,122899,342,0.074043512,0
4/23/2025 12:35,122974,391,0.074157476,0
4/23/2025 12:35,123028,417,0.074265957,0
4/23/2025 12:35,123088,448,0.074375629,0
4/23/2025 12:35,123129,458,0.074487209,0
4/23/2025 12:35,123017,324,0.074596405,0
4/23/2025 12:35,121662,-966,0.074712753,0
4/23/2025 12:35,120814,-1701,0.074837923,0
4/23/2025 12:35,121030,-1392,0.074963093,0
4/23/2025 12:35,121778,-604,0.075088739,0
4/23/2025 12:35,122318,-60,0.075220585,0
4/23/2025 12:35,122581,191,0.075346708,0
4/23/2025 12:35,122715,304,0.099565983,0
4/23/2025 12:35,122731,300,0.139509678,0
4/23/2025 12:35,122846,390,0.1795609,0
4/23/2025 12:35,122968,480,0.219242096,0
4/23/2025 12:35,122990,470,0.259679556,0
4/23/2025 12:35,122992,443,0.299300194,0
4/23/2025 12:35,123012,434,0.339236975,0
4/23/2025 12:35,122889,291,0.379466295,0
4/23/2025 12:35,121771,-775,0.420187235,0
4/23/2025 12:35,121073,-1381,0.459901333,0
4/23/2025 12:35,121214,-1162,0.499256611,0
4/23/2025 12:35,121357,-955,0.539398193,0
4/23/2025 12:35,121634,-636,0.579335928,0
4/23/2025 12:35,121999,-254,0.619238615,0
4/23/2025 12:35,121847,-381,0.659919739,0
4/23/2025 12:35,121859,-346,0.699462891,0
4/23/2025 12:35,122427,209,0.739627123,0
4/23/2025 12:35,122730,480,0.779713869,0
4/23/2025 12:35,122912,620,0.819307089,0
4/23/2025 12:35,123203,854,0.859821796,0
4/23/2025 12:35,123312,903,0.900000334,0
4/23/2025 12:35,122961,518,0.940194607,0
4/23/2025 12:35,121801,-602,0.98007679,0
4/23/2025 12:35,121521,-827,1.019304037,0
4/23/2025 12:35,121965,-359,1.060166836,0
4/23/2025 12:35,122464,131,1.100049734,0
4/23/2025 12:35,122909,540,1.14002943,0
4/23/2025 12:35,123116,701,1.179284334,0
4/23/2025 12:35,123195,731,1.220423937,0
4/23/2025 12:35,123242,729,1.259840012,0
4/23/2025 12:35,123217,660,1.299860239,0
4/23/2025 12:35,123248,648,1.339483261,0
4/23/2025 12:35,123330,685,1.379281044,0
4/23/2025 12:35,123366,676,1.419358253,0
4/23/2025 12:35,123355,623,1.460192204,0
4/23/2025 12:35,122493,-224,1.499301434,0
4/23/2025 12:35,121319,-1311,1.539997339,0
4/23/2025 12:35,121556,-1006,1.58930397,0
4/23/2025 12:35,122388,-164,1.620280743,0
4/23/2025 12:35,122849,279,1.66978693,0
4/23/2025 12:35,123061,460,1.709447384,0
4/23/2025 12:35,123259,617,1.740200281,0
4/23/2025 12:35,123406,716,1.790173292,0
4/23/2025 12:35,123426,690,1.829278469,0
4/23/2025 12:35,123422,644,1.859647274,0
4/23/2025 12:35,123478,656,1.899907112,0
4/23/2025 12:35,123668,793,1.949552536,0
4/23/2025 12:35,123949,1007,1.989334822,0
4/23/2025 12:35,123021,74,2.029434681,0
4/23/2025 12:35,121458,-1396,2.070118427,0
4/23/2025 12:35,121267,-1488,2.109874249,0
4/23/2025 12:35,121833,-864,2.149343967,0
4/23/2025 12:35,122515,-171,2.189426899,0
4/23/2025 12:35,122881,183,2.229505777,0
4/23/2025 12:35,123100,377,2.270069838,0
4/23/2025 12:35,123162,412,2.309909821,0
4/23/2025 12:35,123068,298,2.349410772,0
4/23/2025 12:35,123062,274,2.389247656,0
4/23/2025 12:35,123198,384,2.429264069,0
4/23/2025 12:35,123304,459,2.469531059,0
4/23/2025 12:35,123352,476,2.509675264,0
4/23/2025 12:35,123344,439,2.550049543,0
4/23/2025 12:35,122038,-813,2.590018749,0
4/23/2025 12:35,121071,-1669,2.629541874,0
4/23/2025 12:35,121384,-1271,2.669900179,0
4/23/2025 12:35,122144,-479,2.709289551,0
4/23/2025 12:35,122731,101,2.749431849,0
4/23/2025 12:35,123056,400,2.78932333,0
4/23/2025 12:35,123239,546,2.830100536,0
4/23/2025 12:35,123295,565,2.869873047,0
4/23/2025 12:35,123284,519,2.909406424,0
4/23/2025 12:35,123311,512,2.949340343,0
4/23/2025 12:35,123419,581,2.989881039,0
4/23/2025 12:35,123550,668,3.029305458,0
4/23/2025 12:35,123601,674,3.070098162,0
4/23/2025 12:35,122728,-187,3.109688044,0
4/23/2025 12:35,121133,-1670,3.149246693,0
4/23/2025 12:35,120807,-1872,3.190038204,0
4/23/2025 12:35,121204,-1382,3.229941845,0
4/23/2025 12:35,121881,-661,3.270008326,0
4/23/2025 12:35,122550,7,3.309849262,0
4/23/2025 12:35,122921,355,3.350019932,0
4/23/2025 12:35,123077,479,3.390067101,0
4/23/2025 12:35,123113,483,3.43021059,0
4/23/2025 12:35,123191,526,3.469935417,0
4/23/2025 12:35,123325,618,3.50987792,0
4/23/2025 12:35,123378,630,3.550050974,0
4/23/2025 12:35,123393,604,3.590031862,0
4/23/2025 12:35,123333,510,3.629924059,0
4/23/2025 12:35,121937,-830,3.66923666,0
4/23/2025 12:35,120896,-1754,3.709986925,0
4/23/2025 12:35,121031,-1518,3.749953747,0
4/23/2025 12:35,121609,-881,3.78993392,0
